PING 133.11.11.11 (133.11.11.11) 56(84) bytes of data.
64 bytes from 133.11.11.11: icmp_seq=156 ttl=42 time=555 ms
64 bytes from 133.11.11.11: icmp_seq=157 ttl=42 time=373 ms
64 bytes from 133.11.11.11: icmp_seq=158 ttl=42 time=601 ms
64 bytes from 133.11.11.11: icmp_seq=159 ttl=42 time=626 ms
64 bytes from 133.11.11.11: icmp_seq=160 ttl=42 time=648 ms
64 bytes from 133.11.11.11: icmp_seq=161 ttl=42 time=458 ms
64 bytes from 133.11.11.11: icmp_seq=162 ttl=42 time=595 ms
64 bytes from 133.11.11.11: icmp_seq=163 ttl=42 time=618 ms
64 bytes from 133.11.11.11: icmp_seq=164 ttl=42 time=642 ms
64 bytes from 133.11.11.11: icmp_seq=165 ttl=42 time=674 ms
64 bytes from 133.11.11.11: icmp_seq=166 ttl=42 time=265 ms
64 bytes from 133.11.11.11: icmp_seq=167 ttl=42 time=304 ms
64 bytes from 133.11.11.11: icmp_seq=168 ttl=42 time=329 ms
64 bytes from 133.11.11.11: icmp_seq=169 ttl=42 time=565 ms
64 bytes from 133.11.11.11: icmp_seq=170 ttl=42 time=274 ms
64 bytes from 133.11.11.11: icmp_seq=171 ttl=42 time=399 ms
64 bytes from 133.11.11.11: icmp_seq=172 ttl=42 time=321 ms
64 bytes from 133.11.11.11: icmp_seq=173 ttl=42 time=446 ms
64 bytes from 133.11.11.11: icmp_seq=174 ttl=42 time=573 ms
64 bytes from 133.11.11.11: icmp_seq=175 ttl=42 time=609 ms
64 bytes from 133.11.11.11: icmp_seq=176 ttl=42 time=416 ms
64 bytes from 133.11.11.11: icmp_seq=177 ttl=42 time=439 ms
64 bytes from 133.11.11.11: icmp_seq=178 ttl=42 time=464 ms
64 bytes from 133.11.11.11: icmp_seq=179 ttl=42 time=594 ms
64 bytes from 133.11.11.11: icmp_seq=180 ttl=42 time=510 ms
64 bytes from 133.11.11.11: icmp_seq=181 ttl=42 time=536 ms
64 bytes from 133.11.11.11: icmp_seq=182 ttl=42 time=353 ms
64 bytes from 133.11.11.11: icmp_seq=183 ttl=42 time=378 ms
64 bytes from 133.11.11.11: icmp_seq=184 ttl=42 time=402 ms
64 bytes from 133.11.11.11: icmp_seq=185 ttl=42 time=425 ms
64 bytes from 133.11.11.11: icmp_seq=186 ttl=42 time=287 ms
64 bytes from 133.11.11.11: icmp_seq=187 ttl=42 time=676 ms
64 bytes from 133.11.11.11: icmp_seq=188 ttl=42 time=393 ms
64 bytes from 133.11.11.11: icmp_seq=189 ttl=42 time=516 ms
64 bytes from 133.11.11.11: icmp_seq=190 ttl=42 time=337 ms
64 bytes from 133.11.11.11: icmp_seq=191 ttl=42 time=565 ms
64 bytes from 133.11.11.11: icmp_seq=192 ttl=42 time=487 ms
64 bytes from 133.11.11.11: icmp_seq=193 ttl=42 time=613 ms
