PING 130.149.17.21 (130.149.17.21) 56(84) bytes of data.
64 bytes from 130.149.17.21: icmp_seq=86 ttl=43 time=253 ms
64 bytes from 130.149.17.21: icmp_seq=87 ttl=43 time=276 ms
64 bytes from 130.149.17.21: icmp_seq=88 ttl=43 time=401 ms
64 bytes from 130.149.17.21: icmp_seq=89 ttl=43 time=325 ms
64 bytes from 130.149.17.21: icmp_seq=90 ttl=43 time=450 ms
64 bytes from 130.149.17.21: icmp_seq=91 ttl=43 time=372 ms
64 bytes from 130.149.17.21: icmp_seq=92 ttl=43 time=394 ms
64 bytes from 130.149.17.21: icmp_seq=93 ttl=43 time=523 ms
64 bytes from 130.149.17.21: icmp_seq=94 ttl=43 time=543 ms
64 bytes from 130.149.17.21: icmp_seq=95 ttl=43 time=565 ms
64 bytes from 130.149.17.21: icmp_seq=96 ttl=43 time=591 ms
64 bytes from 130.149.17.21: icmp_seq=97 ttl=43 time=409 ms
64 bytes from 130.149.17.21: icmp_seq=98 ttl=43 time=637 ms
64 bytes from 130.149.17.21: icmp_seq=99 ttl=43 time=657 ms
64 bytes from 130.149.17.21: icmp_seq=100 ttl=43 time=377 ms
64 bytes from 130.149.17.21: icmp_seq=101 ttl=43 time=297 ms
64 bytes from 130.149.17.21: icmp_seq=102 ttl=43 time=526 ms
64 bytes from 130.149.17.21: icmp_seq=103 ttl=43 time=547 ms
64 bytes from 130.149.17.21: icmp_seq=104 ttl=43 time=367 ms
64 bytes from 130.149.17.21: icmp_seq=105 ttl=43 time=595 ms
64 bytes from 130.149.17.21: icmp_seq=106 ttl=43 time=413 ms
64 bytes from 130.149.17.21: icmp_seq=107 ttl=43 time=334 ms
64 bytes from 130.149.17.21: icmp_seq=108 ttl=43 time=461 ms
64 bytes from 130.149.17.21: icmp_seq=109 ttl=43 time=383 ms
64 bytes from 130.149.17.21: icmp_seq=110 ttl=43 time=293 ms
64 bytes from 130.149.17.21: icmp_seq=111 ttl=43 time=326 ms
64 bytes from 130.149.17.21: icmp_seq=112 ttl=43 time=337 ms
64 bytes from 130.149.17.21: icmp_seq=113 ttl=43 time=578 ms
64 bytes from 130.149.17.21: icmp_seq=114 ttl=43 time=602 ms
64 bytes from 130.149.17.21: icmp_seq=115 ttl=43 time=317 ms
64 bytes from 130.149.17.21: icmp_seq=116 ttl=43 time=444 ms
64 bytes from 130.149.17.21: icmp_seq=117 ttl=43 time=467 ms
64 bytes from 130.149.17.21: icmp_seq=118 ttl=43 time=491 ms
64 bytes from 130.149.17.21: icmp_seq=119 ttl=43 time=320 ms
64 bytes from 130.149.17.21: icmp_seq=120 ttl=43 time=333 ms
64 bytes from 130.149.17.21: icmp_seq=121 ttl=43 time=301 ms
64 bytes from 130.149.17.21: icmp_seq=122 ttl=43 time=276 ms
64 bytes from 130.149.17.21: icmp_seq=123 ttl=43 time=300 ms
64 bytes from 130.149.17.21: icmp_seq=124 ttl=43 time=219 ms
64 bytes from 130.149.17.21: icmp_seq=125 ttl=43 time=445 ms
